state,timestamp,leading_candidate_name,trailing_candidate_name,leading_candidate_votes,trailing_candidate_votes,vote_differential,votes_remaining,new_votes,new_votes_relevant,new_votes_formatted,leading_candidate_partition,trailing_candidate_partition,precincts_reporting,precincts_total,hurdle,hurdle_change,hurdle_mov_avg,counties_partition,total_votes_count,dd,tt,state_clean,trump_win_rate_list,ddtt,idx
Alaska (EV: 3),28:22.1,Trump,Biden,80999,45758,35241,258871,0,0,0,0,0,201,441,0.571195704,-0.428804296,,{},132475,20201104,1328,Alaska,0.639010074,202011041328,AK
Alabama (EV: 9),28:22.1,Trump,Biden,1409055,790711,618344,93031,0,0,0,0,0,1912,2069,3.870453632,2.870453632,,{},2230255,20201104,1328,Alabama,0.640547676,202011041328,AL
Arkansas (EV: 6),28:22.1,Trump,Biden,749801,414323,335478,21014,0,0,0,0,0,2352,2579,8.714659755,7.714659755,,{},1198055,20201104,1328,Arkansas,0.64409032,202011041328,AR
Arizona (EV: 11),28:22.1,Biden,Trump,1367211,1236546,130665,746304,0,0,0,0,0,1243,1489,0.588946156,-0.411053844,,{},2639559,20201104,1328,Arizona,0.474908373,202011041328,AZ
California (EV: 55),28:22.1,Biden,Trump,7728329,3898683,3829646,5647390,0,0,0,0,0,14899,20498,0.846594759,-0.153405241,,{},11848516,20201104,1328,California,0.335312546,202011041328,CA
Colorado (EV: 9),28:22.1,Biden,Trump,1631018,1220661,410357,333648,0,0,0,0,0,2918,3276,1.132030732,0.132030732,,{},2923315,20201104,1328,Colorado,0.428049931,202011041328,CO
Connecticut (EV: 7),28:22.1,Biden,Trump,928131,633711,294420,237831,0,0,0,0,0,631,753,1.128725432,0.128725432,,{},1586486,20201104,1328,Connecticut,0.405745908,202011041328,CT
District of Columbia (EV: 3),28:22.1,Biden,Trump,212542,12802,199740,113818,0,0,0,0,0,96,144,1.39951853,0.39951853,,{},230538,20201104,1328,District of Columbia,0.05681092,202011041328,DC
Delaware (EV: 3),28:22.1,Biden,Trump,295402,199829,95573,1667,0,0,0,0,0,427,434,29.5780398,28.5780398,,{},502343,20201104,1328,Delaware,0.403506646,202011041328,DE
Florida (EV: 29),28:22.1,Trump,Biden,5646949,5269926,377023,36016,0,0,0,0,0,5947,6009,5.782637444,4.782637444,,{},11031440,20201104,1328,Florida,0.517267899,202011041328,FL
Georgia (EV: 16),28:22.1,Trump,Biden,2384301,2280541,103760,272257,0,0,0,0,0,2493,2655,0.69295786,-0.30704214,,{},4723235,20201104,1328,Georgia,0.511121491,202011041328,GA
Hawaii (EV: 4),28:22.1,Biden,Trump,355226,186419,168807,22253,0,0,0,0,0,250,250,4.370211683,3.370211683,,{},552216,20201104,1328,Hawaii,0.344171921,202011041328,HI
Iowa (EV: 6),28:22.1,Trump,Biden,888625,765251,123374,4318,0,0,0,0,0,1594,1664,15.08038409,14.08038409,,{},1686601,20201104,1328,Iowa,0.537298443,202011041328,IA
Idaho (EV: 4),28:22.1,Trump,Biden,528254,283102,245152,30852,0,0,0,0,0,937,962,4.599969085,3.599969085,,{},837301,20201104,1328,Idaho,0.651075484,202011041328,ID
Illinois (EV: 20),28:22.1,Biden,Trump,2511547,1900052,611495,1540930,0,0,0,0,0,7214,9874,0.702270607,-0.297729393,,{},4495802,20201104,1328,Illinois,0.43069463,202011041328,IL
Indiana (EV: 11),28:22.1,Trump,Biden,1539597,992536,547061,444889,0,0,0,0,0,4275,4969,1.127415611,0.127415611,,{},2589777,20201104,1328,Indiana,0.608023749,202011041328,IN
Kansas (EV: 6),28:22.1,Trump,Biden,703509,526732,176777,81289,0,0,0,0,0,3017,3523,1.614545704,0.614545704,,{},1262925,20201104,1328,Kansas,0.571846492,202011041328,KS
Kentucky (EV: 8),28:22.1,Trump,Biden,1330080,755724,574356,16846,0,0,0,0,0,3324,3692,17.85299633,16.85299633,,{},2121113,20201104,1328,Kentucky,0.63768216,202011041328,KY
Louisiana (EV: 8),28:22.1,Trump,Biden,1255481,855597,399884,749,0,0,0,0,0,3698,3934,272.0277273,271.0277273,,{},2147313,20201104,1328,Louisiana,0.594710854,202011041328,LA
Massachusetts (EV: 11),28:22.1,Biden,Trump,1611215,745316,865899,1220779,0,0,0,0,0,1439,2174,0.862843282,-0.137156718,,{},2410623,20201104,1328,Massachusetts,0.316276764,202011041328,MA
Maryland (EV: 10),28:22.1,Biden,Trump,1340115,730848,609267,929248,0,0,0,0,0,1384,2019,0.836196052,-0.163803948,,{},2107782,20201104,1328,Maryland,0.35290249,202011041328,MD
Maine (EV: 4),28:22.1,Biden,Trump,339226,261737,77489,199059,0,0,0,0,0,303,552,0.700423059,-0.299576941,,{},620402,20201104,1328,Maine,0.435529309,202011041328,ME
Michigan (EV: 16),28:22.1,Trump,Biden,2414427,2386894,27533,656237,0,0,0,0,0,4189,4974,0.521306462,-0.478693538,,{},4883065,20201104,1328,Michigan,0.502867232,202011041328,MI
Minnesota (EV: 10),28:22.1,Biden,Trump,1680792,1450807,229985,167976,0,0,0,0,0,3751,4110,1.200836068,0.200836068,,{},3196739,20201104,1328,Minnesota,0.463279941,202011041328,MN
Missouri (EV: 10),28:22.1,Trump,Biden,1711847,1242851,468996,18830,0,0,0,0,0,3456,3615,13.18060637,12.18060637,,{},3010314,20201104,1328,Missouri,0.579364456,202011041328,MO
